date,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2018-07-17,,,,0.034219194003651046,,0.034219194003651046,0.0009692455707545144,BEAR,EXIT
2018-07-18,,,,0.03421919396177445,,0.03421919396177445,0.000969245509771088,BEAR,EXIT
2018-07-19,,,,0.0342191940894338,,0.0342191940894338,0.000969245509771088,BEAR,EXIT
2018-07-20,,,,0.03421919413131048,,0.03421919413131048,0.034219194234170504,BEAR,EXIT
2018-07-21,,,,0.03421919409512626,,0.03421919409512626,0.03421919426466226,BEAR,EXIT
2018-07-22,,,,0.03421524845760711,,0.03421524845760711,0.03421919422278566,BEAR,EXIT
2018-07-23,,,,0.040865333807730435,,0.040865333807730435,0.034219194125617976,BEAR,EXIT
2018-07-24,,,,0.040865333797633206,,0.040865333797633206,0.034219194003651046,BEAR,EXIT
2018-07-25,,,,0.04086533382132639,,0.04086533382132639,0.03421919396177445,BEAR,EXIT
2018-07-26,,,,0.04066220644197122,,0.04066220644197122,0.0342191940894338,BEAR,EXIT
2018-07-27,,,,0.04049996983521218,,0.04049996983521218,0.03421919413131048,BEAR,EXIT
2018-07-28,,,,0.0,,0.0,0.03421919409512626,BEAR,EXIT
2018-07-29,,,,0.0,28.626733626584596,11.450693450633839,0.03421524845760711,BEAR,EXIT
2018-07-30,,,,0.0,26.507493203126458,10.602997281250584,0.040865333807730435,BEAR,EXIT
2018-07-31,,,,0.0029394113524536304,25.96412076513181,10.387411952864197,0.040865333797633206,BEAR,EXIT
2018-08-01,,,,0.0030179773237287016,23.575418961995595,9.431978371192477,0.04086533382132639,BEAR,EXIT
2018-08-02,,,,0.0025938960133918484,24.24756821402056,9.700583623216259,0.04066220644197122,BEAR,EXIT
2018-08-03,,,,0.0023706219623452736,26.995822753849367,10.799751474717155,0.04049996983521218,BEAR,EXIT
2018-08-04,,,,0.002345661525256061,28.315045000664682,11.327425397181027,0.0,BEAR,EXIT
2018-08-05,,,,0.0025903429436783037,29.222160966862305,11.69041859251113,11.450693450633839,BEAR,EXIT
2018-08-06,,,,0.002336684425347842,29.087660351121556,11.636466151103832,10.602997281250584,BEAR,EXIT
2018-08-07,,,,0.002456974815663035,24.84456001806346,9.939298192114784,10.387411952864197,BEAR,EXIT
2018-08-08,,,,0.002353111693243938,27.15896623287331,10.864998360165272,9.431978371192477,BEAR,EXIT
2018-08-09,,,,0.0024193542868959804,28.836907499242997,11.536214612269339,9.700583623216259,BEAR,EXIT
2018-08-10,,,,0.0015459314630962328,25.03890773378052,10.016490652390067,10.799751474717155,BEAR,EXIT
2018-08-11,,,,0.002506381313396857,22.20263123089265,8.882556321145099,11.327425397181027,BEAR,EXIT
2018-08-12,,,,0.0,20.54107420847116,8.216429683388464,11.69041859251113,BEAR,EXIT
2018-08-13,,,,0.0003301300947730721,12.99389147524316,5.197754668154128,11.636466151103832,BEAR,EXIT
2018-08-14,,,,0.0003156673245268836,10.362159408711875,4.145053163879466,9.939298192114784,BEAR,EXIT
2018-08-15,,,,3.323976341006862e-05,9.733133171603313,3.8932732124993716,10.864998360165272,BEAR,EXIT
2018-08-16,,,,0.0,14.468736789180298,5.7874947156721195,11.536214612269339,BEAR,EXIT
2018-08-17,,,,0.0006099148746956692,22.58587613835384,9.034716404266355,10.016490652390067,BEAR,EXIT
2018-08-18,,,,0.0003870240485350842,22.989952383333815,9.196213167762647,8.882556321145099,BEAR,EXIT
2018-08-19,,,,0.00042727343000004066,25.430278740794236,10.172367860375696,8.216429683388464,BEAR,EXIT
2018-08-20,,,,0.0001859959384355492,19.755595633662608,7.902349851028105,5.197754668154128,BEAR,EXIT
2018-08-21,,,,0.0005330459515113898,20.31546190359572,8.126504589009194,4.145053163879466,BEAR,EXIT
2018-08-22,,,,0.0,23.80656382117587,9.522625528470348,3.8932732124993716,BEAR,EXIT
2018-08-23,,,,0.0,25.563388458017783,10.225355383207114,5.7874947156721195,BEAR,EXIT
2018-08-24,,,,0.0002684755396980905,24.104832767294752,9.642094192241721,9.034716404266355,BEAR,EXIT
2018-08-25,,,,0.00025109860057209986,21.98196194973505,8.792935439054364,9.196213167762647,BEAR,EXIT
2018-08-26,,,,0.00018370480781445468,22.247944683114284,8.899288096130402,10.172367860375696,BEAR,EXIT
2018-08-27,,,,0.05212394180790129,24.187547074882048,9.70629319503756,7.902349851028105,BEAR,EXIT
2018-08-28,,,,0.051056449559431054,24.59242945875289,9.867605653236815,8.126504589009194,BEAR,EXIT
2018-08-29,,,,0.11633508706903714,24.5019965951264,9.870599690291982,9.522625528470348,BEAR,EXIT
2018-08-30,,,,0.11009392234318685,24.10565885569119,9.708319895682388,10.225355383207114,BEAR,EXIT
2018-08-31,,,,0.10949750979960689,24.93574765756253,10.039997568904777,9.642094192241721,BEAR,EXIT
2018-09-01,,,,0.11023774530989519,26.640321613735125,10.722271292679988,8.792935439054364,BEAR,EXIT
2018-09-02,,,,0.11081285836539599,23.07747466796046,9.29747758220342,8.899288096130402,BEAR,EXIT
2018-09-03,,,,0.11075578648097313,19.827104219313767,7.997295159614092,9.70629319503756,BEAR,EXIT
2018-09-04,,,,0.10940820879288601,18.154015277913118,7.327251036440979,9.867605653236815,BEAR,EXIT
2018-09-05,,,,0.1715457765592355,10.859900427621653,4.4468876369842025,9.870599690291982,BEAR,EXIT
2018-09-06,,,,0.17216078777751267,15.333552364816725,6.236717418593199,9.708319895682388,BEAR,EXIT
2018-09-07,,,,0.1720293349115769,12.42426921110274,5.072925285388043,10.039997568904777,BEAR,EXIT
2018-09-08,,,,0.17179109655063896,10.646967988690804,4.3618618534067055,10.722271292679988,BEAR,EXIT
2018-09-09,,,,0.17432183183287572,12.218128379846902,4.991844451038487,9.29747758220342,BEAR,EXIT
2018-09-10,,,,0.17212505398024122,16.10974076987175,6.547171340336845,7.997295159614092,BEAR,EXIT
2018-09-11,,,,0.1760704113681648,14.340512951317493,5.841847427347897,7.327251036440979,BEAR,EXIT
2018-09-12,,,,0.17546925728465312,21.05876731934518,8.528788482108865,4.4468876369842025,BEAR,EXIT
2018-09-13,,,,0.17750486700621027,27.869573095116877,11.254332158250477,6.236717418593199,BEAR,EXIT
2018-09-14,,,,0.17607316174542167,27.515058227357216,11.11166718799014,5.072925285388043,BEAR,EXIT
2018-09-15,,,,0.17769706220789977,29.268689871911107,11.814094186089184,4.3618618534067055,BEAR,EXIT
2018-09-16,,,,0.1758179475306941,25.078023435127278,10.136700142569328,4.991844451038487,BEAR,EXIT
2018-09-17,,,,0.17662373433147208,24.240308109964104,9.802097484584525,6.547171340336845,BEAR,EXIT
2018-09-18,,,,0.18521374968008397,26.390378153096563,10.667279511046676,5.841847427347897,BEAR,EXIT
2018-09-19,,,,0.18584597055916874,29.957620014251347,12.094555588036041,8.528788482108865,BEAR,EXIT
2018-09-20,,,,0.22660183084839775,32.805606430138596,13.258203670564479,11.254332158250477,BEAR,EXIT
2018-09-21,,,,0.2497005198848221,37.142960341917686,15.007004448697968,11.11166718799014,BEAR,EXIT
2018-09-22,,,,0.2536600673523588,36.24459513580342,14.650034094732785,11.814094186089184,BEAR,EXIT
2018-09-23,,,,0.25227862892659175,37.39390423183511,15.108928870089999,10.136700142569328,BEAR,EXIT
2018-09-24,,,,0.25837725435393916,35.894222543393695,14.512715369969843,9.802097484584525,BEAR,EXIT
2018-09-25,,,,0.3078754258743155,35.73340309843509,14.478086494898626,10.667279511046676,BEAR,EXIT
2018-09-26,,,,0.31233652877575224,33.460726387794864,13.571692472383397,12.094555588036041,BEAR,EXIT
2018-09-27,,,,0.3283504087032785,34.38435681439674,13.950752970980664,13.258203670564479,BEAR,EXIT
2018-09-28,,,,0.3303303449812172,34.68924274120981,14.073895303472655,15.007004448697968,BEAR,EXIT
2018-09-29,,,,0.3351711130035354,37.56362448062996,15.226552460054107,14.650034094732785,BEAR,EXIT
2018-09-30,,,,0.33586283315247634,38.25143639157638,15.502092256522037,15.108928870089999,BEAR,EXIT
2018-10-01,,,,0.3289127984686821,36.88459366152116,14.951185143689674,14.512715369969843,BEAR,EXIT
2018-10-02,,,,0.32700579073533703,37.26661817718663,15.102850745315854,14.478086494898626,BEAR,EXIT
2018-10-03,,,,0.39486651495631586,36.977021786393,15.02772862353099,13.571692472383397,BEAR,EXIT
2018-10-04,,,,0.3929525345583506,38.212071565632,15.520600146987812,13.950752970980664,BEAR,EXIT
2018-10-05,,,,0.2959065042835466,45.48314603207119,18.370802315398606,14.073895303472655,BEAR,EXIT
2018-10-06,,,,0.29223395992580786,43.84841890852444,17.714707939365262,15.226552460054107,BEAR,EXIT
2018-10-07,,,,0.29235526676063206,46.347762734179994,18.71451825372838,15.502092256522037,BEAR,EXIT
2018-10-08,,,,0.2880296224606034,49.31898691935282,19.900412541217488,14.951185143689674,BEAR,EXIT
2018-10-09,,,,0.29319452395994067,50.02633665417446,20.18645137604575,15.102850745315854,BEAR,EXIT
2018-10-10,,,,0.2914700785546267,50.081740949649244,20.207578426992477,15.02772862353099,BEAR,EXIT
2018-10-11,,,,0.29099895541943327,47.635896839714576,19.22895810913749,15.520600146987812,BEAR,EXIT
2018-10-12,,,,0.3206863196228252,49.09486326475459,19.83035709767553,18.370802315398606,BEAR,EXIT
2018-10-13,,,,0.33062488414445107,44.34171136860149,17.93505947792727,17.714707939365262,BEAR,EXIT
2018-10-14,,,,0.3331955859235945,43.329401707658924,17.531678034617727,18.71451825372838,BEAR,EXIT
2018-10-15,,,,0.48128969877302985,42.1505693766573,17.14900156992674,19.900412541217488,BEAR,EXIT
2018-10-16,,,,0.547998245875447,42.81871033863216,17.456283082978132,20.18645137604575,BEAR,EXIT
2018-10-17,,,,0.6176554609058172,46.03486494493111,18.784539254515934,20.207578426992477,BEAR,EXIT
2018-10-18,,,,0.5925676123826615,42.888537221448786,17.51095545600911,19.22895810913749,BEAR,EXIT
2018-10-19,,,,0.6597864516471086,43.56492496947298,17.82184185877746,19.83035709767553,BEAR,EXIT
2018-10-20,,,,0.5843555802546468,41.24346057872892,16.847997579644357,17.93505947792727,BEAR,EXIT
2018-10-21,,,,0.5384301142540739,38.07761198636427,15.554102863098153,17.531678034617727,BEAR,EXIT
2018-10-22,,,,0.5695800228188705,39.07749194011581,15.972744789737648,17.14900156992674,BEAR,EXIT
2018-10-23,,,,0.7885596262417279,38.21181346729253,15.75786116266205,17.456283082978132,BEAR,EXIT
2018-10-24,,,,0.9131360667812614,40.76554706790013,16.854100467228808,18.784539254515934,BEAR,EXIT
2018-10-25,,,,0.7871000442549734,41.45460365971094,17.05410149043736,17.51095545600911,BEAR,EXIT
2018-10-26,,,,0.8026541738394946,42.75912858420586,17.585243937986043,17.82184185877746,BEAR,EXIT
2018-10-27,,,,0.7752821735856031,41.48523748419751,17.059264297830367,16.847997579644357,BEAR,EXIT
2018-10-28,,,,0.7707469091238062,42.66880850601803,17.529971547881498,15.554102863098153,BEAR,EXIT
2018-10-29,,,,0.7554504839653369,39.63362406523705,16.306719916474023,15.972744789737648,BEAR,EXIT
2018-10-30,,,,0.7685771556027818,39.66458828590639,16.326981607724225,15.75786116266205,BEAR,EXIT
2018-10-31,,,,0.7687009428279222,39.847851507630395,16.400361168748912,16.854100467228808,BEAR,EXIT
2018-11-01,,,,0.765785516911873,40.402158149895975,16.620334570105513,17.05410149043736,BEAR,EXIT
2018-11-02,,,,0.6963671921152234,41.904926669094166,17.1797909829068,17.585243937986043,BEAR,EXIT
2018-11-03,,,,0.7091061534324979,41.88008887838246,17.177499243412484,17.059264297830367,BEAR,EXIT
2018-11-04,,,,0.6636463104464083,42.75149124991846,17.498784286235228,17.529971547881498,BEAR,EXIT
2018-11-05,,,,0.6835870044034461,43.195744051045494,17.688449823060264,16.306719916474023,BEAR,EXIT
2018-11-06,,,,0.680861310317531,44.8800389290301,18.36053235780256,16.326981607724225,BEAR,EXIT
2018-11-07,,,,0.6869041375004765,43.755546897391575,17.914361241456916,16.400361168748912,BEAR,EXIT
2018-11-08,,,,0.673374669516459,43.345971480318845,17.742413393837417,16.620334570105513,BEAR,EXIT
2018-11-09,,,,0.6722649372000842,43.41063392814045,17.767612533576234,17.1797909829068,BEAR,EXIT
2018-11-10,,,,0.6668373454161648,48.961289830203704,19.98461833933118,17.177499243412484,BEAR,EXIT
2018-11-11,,,,0.6068583375117189,47.928245194061404,19.535413080131594,17.498784286235228,BEAR,EXIT
2018-11-12,,,,0.5818466582285422,47.20819853930408,19.232387410658756,17.688449823060264,BEAR,EXIT
2018-11-13,,,,0.5949950602093566,47.79207601274255,19.47382744122263,18.36053235780256,BEAR,EXIT
2018-11-14,,,,0.42604152613033247,45.35290063268137,18.39678516875075,17.914361241456916,BEAR,EXIT
2018-11-15,,,,0.37548873204268374,45.58914177835695,18.46094995056839,17.742413393837417,BEAR,EXIT
2018-11-16,,,,0.3438822929209071,44.91000124378653,18.17032987326716,17.767612533576234,BEAR,EXIT
2018-11-17,,,,0.34693682174493967,45.53736189308156,18.42310685027959,19.98461833933118,BEAR,EXIT
2018-11-18,,,,0.30924546918458956,45.53330424877786,18.3988689810219,19.535413080131594,BEAR,EXIT
2018-11-19,,,,0.2914464102883432,44.106993539299076,17.817665261892635,19.232387410658756,BEAR,EXIT
2018-11-20,,,,0.3091013859795589,42.5355676203349,17.199687879721697,19.47382744122263,BEAR,EXIT
2018-11-21,,,,0.2954695983743834,42.87502403535429,17.32729137316635,18.39678516875075,BEAR,EXIT
2018-11-22,,,,0.20428679165329083,42.137881548840525,16.977724694528185,18.46094995056839,BEAR,EXIT
2018-11-23,,,,0.16871183575705861,40.92909346551327,16.472864487659542,18.17032987326716,BEAR,EXIT
2018-11-24,,,,0.16721990530050398,42.50425901056919,17.10203554740798,18.42310685027959,BEAR,EXIT
2018-11-25,,,,0.1570790426282129,41.97882976633148,16.88577933210952,18.3988689810219,BEAR,EXIT
2018-11-26,,,,0.16629109532539818,41.15974425934495,16.56367236093322,17.817665261892635,BEAR,EXIT
2018-11-27,,,,0.1701343495782175,41.32350392677152,16.631482180455542,17.199687879721697,BEAR,EXIT
2018-11-28,,,,0.17795352400762154,41.747424183368956,16.805741787752158,17.32729137316635,BEAR,EXIT
2018-11-29,,,,0.1814571224920658,39.985838077375476,16.10320950444543,16.977724694528185,BEAR,EXIT
2018-11-30,,,,0.20143224815409796,41.03559258842326,16.535096384261767,16.472864487659542,BEAR,EXIT
2018-12-01,,,,0.2033139827247924,41.01606209077341,16.52841322594424,17.10203554740798,BEAR,EXIT
2018-12-02,,,,0.18470037181768575,40.39679541777462,16.269538390200463,16.88577933210952,BEAR,EXIT
2018-12-03,,,,0.19697681451426932,40.520400438228144,16.32634626399982,16.56367236093322,BEAR,EXIT
2018-12-04,,,,0.19689530787907228,38.38811693713801,15.473383959582646,16.631482180455542,BEAR,EXIT
2018-12-05,,,,0.1876457000482202,37.530503440605386,15.124788796271087,16.805741787752158,BEAR,EXIT
2018-12-06,,,,0.19900103864608057,33.88615068565089,13.673860897448005,16.10320950444543,BEAR,EXIT
2018-12-07,,,,0.21101559018007082,36.269240953230764,14.634305735400348,16.535096384261767,BEAR,EXIT
2018-12-08,,,,0.21429207305481,35.992410750413185,14.52553954399816,16.52841322594424,BEAR,EXIT
2018-12-09,,,,0.21750225714969612,35.633959067185145,14.384084981163877,16.269538390200463,BEAR,EXIT
2018-12-10,,,,0.2194833638230565,34.92702682033749,14.10250074642883,16.32634626399982,BEAR,EXIT
2018-12-11,,,,0.21648285867885148,34.81107548837993,14.054319910559283,15.473383959582646,BEAR,EXIT
2018-12-12,,,,0.22026754022027276,34.78049465866681,14.044358387598889,15.124788796271087,BEAR,EXIT
2018-12-13,,,,0.21480582658670097,35.597310270112544,14.36780760399704,13.673860897448005,BEAR,EXIT
2018-12-14,,,,0.20662197092628287,36.79373026943138,14.84146529032832,14.634305735400348,BEAR,EXIT
2018-12-15,,,,0.20573374627246518,36.22532470692702,14.613570130534288,14.52553954399816,BEAR,EXIT
2018-12-16,,,,0.1967413802957117,37.79461704495717,15.235891646160296,14.384084981163877,BEAR,EXIT
2018-12-17,,,,0.19874457795456216,38.570408450739265,15.547410127068444,14.10250074642883,BEAR,EXIT
2018-12-18,,,,0.2008002283857525,39.27018196303001,15.828552922243457,14.054319910559283,BEAR,EXIT
2018-12-19,,,,0.2094522232021792,39.74185978634929,16.022415248461023,14.044358387598889,BEAR,EXIT
2018-12-20,,,,0.19683278956398612,43.36399594394907,17.463698051318023,14.36780760399704,BEAR,EXIT
2018-12-21,,,,0.1922917972107414,42.97570118069899,17.30565555060604,14.84146529032832,BEAR,EXIT
2018-12-22,,,,0.19125039239682118,45.15777293567504,18.17785940970811,14.613570130534288,BEAR,EXIT
2018-12-23,,,,0.18582360956228203,51.964414521136796,20.89725997419209,15.235891646160296,BEAR,EXIT
2018-12-24,,,,0.1872810450873979,53.26152993024548,21.416980599150634,15.547410127068444,BEAR,EXIT
2018-12-25,22.669236292754054,28.189910991274346,14.615769581243018,0.1875785902913016,52.597249425191734,22.059264282956274,15.828552922243457,BEAR,EXIT
2018-12-26,24.368700873872303,27.740122922221534,15.298507931590333,0.1768004986732211,53.75485350883824,22.70734800471995,16.022415248461023,BEAR,EXIT
